                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                0.80437,                0.57827,                 1.1673,                0.94615,                0.90925,                0.94768,                0.64252,                 1.1432,                0.58506,                 1.5589,              0.0098802,              0.0098802,              0.0098802
                    123,                0.79441,                0.59631,                 1.1544,                0.89595,                0.92016,                0.95328,                0.65134,                 1.1205,                0.57297,                 1.5327,              0.0098792,              0.0098792,              0.0098792
                    124,                0.79587,                0.58573,                 1.1577,                0.93305,                0.88824,                0.94028,                0.66123,                 1.1002,                0.61045,                 1.5077,              0.0098782,              0.0098782,              0.0098782
                    125,                0.77935,                0.56827,                 1.1497,                0.92075,                0.90603,                0.96016,                0.64596,                 1.1205,                0.59785,                 1.5345,              0.0098772,              0.0098772,              0.0098772
                    126,                0.82216,                0.59939,                 1.1828,                0.92251,                0.91521,                0.94392,                0.63935,                 1.1381,                0.61049,                 1.5642,              0.0098763,              0.0098763,              0.0098763
                    127,                0.76734,                0.57416,                 1.1542,                0.94439,                0.90399,                0.94208,                0.65885,                 1.0889,                0.60121,                 1.4957,              0.0098753,              0.0098753,              0.0098753
                    128,                0.79785,                 0.5784,                 1.1586,                0.95531,                0.91187,                0.95134,                0.64472,                 1.1264,                0.61047,                  1.535,              0.0098743,              0.0098743,              0.0098743
                    129,                0.77709,                0.56844,                 1.1509,                0.91931,                0.85519,                0.93378,                 0.6345,                 1.1205,                0.65097,                 1.5531,              0.0098733,              0.0098733,              0.0098733
                    130,                0.80202,                0.57725,                 1.1623,                0.89102,                0.88606,                0.92734,                0.63158,                 1.1477,                0.63008,                 1.5743,              0.0098723,              0.0098723,              0.0098723
                    131,                0.78503,                0.56716,                 1.1436,                0.91934,                 0.8818,                0.94107,                0.62785,                 1.1565,                0.62698,                 1.5738,              0.0098713,              0.0098713,              0.0098713
                    132,                0.79749,                0.58851,                 1.1626,                0.90435,                0.90356,                0.94961,                0.65143,                 1.1359,                  0.648,                 1.5717,              0.0098703,              0.0098703,              0.0098703
                    133,                0.76838,                0.56964,                 1.1533,                0.91617,                  0.914,                0.94027,                0.62704,                 1.1698,                0.64231,                 1.6412,              0.0098693,              0.0098693,              0.0098693
                    134,                0.76801,                0.55722,                 1.1494,                 0.9474,                0.89117,                0.95403,                0.65346,                 1.1254,                0.60188,                 1.5562,              0.0098683,              0.0098683,              0.0098683
                    135,                0.77771,                 0.5627,                 1.1627,                0.90892,                0.88922,                0.92631,                0.63978,                 1.1562,                0.61835,                 1.5831,              0.0098673,              0.0098673,              0.0098673
                    136,                0.78044,                0.56869,                 1.1471,                0.90605,                0.87054,                0.92871,                0.62077,                 1.1427,                0.63784,                 1.5938,              0.0098664,              0.0098664,              0.0098664
                    137,                0.77034,                  0.554,                  1.145,                0.93697,                0.89701,                0.93625,                0.63889,                 1.1691,                0.62508,                 1.6045,              0.0098654,              0.0098654,              0.0098654
                    138,                0.76261,                 0.5428,                 1.1401,                0.91384,                0.90292,                0.94721,                0.62945,                 1.1532,                0.64996,                 1.5737,              0.0098644,              0.0098644,              0.0098644
                    139,                0.78265,                0.55757,                 1.1414,                0.89374,                0.89911,                0.93477,                0.64008,                 1.1606,                0.65246,                 1.5903,              0.0098634,              0.0098634,              0.0098634
                    140,                0.77932,                0.54694,                 1.1434,                0.93896,                0.90868,                0.94055,                0.63642,                 1.1535,                0.61523,                 1.5898,              0.0098624,              0.0098624,              0.0098624
                    141,                0.76163,                0.54706,                 1.1381,                0.90262,                0.90079,                0.94608,                0.65747,                 1.0962,                0.58252,                 1.5212,              0.0098614,              0.0098614,              0.0098614
                    142,                0.76992,                0.54642,                  1.148,                0.92866,                0.82737,                0.92665,                0.63619,                 1.1077,                0.67113,                 1.5184,              0.0098604,              0.0098604,              0.0098604
                    143,                  0.768,                 0.5516,                 1.1398,                0.92952,                0.90185,                0.94621,                0.67051,                 1.0821,                 0.5975,                 1.4955,              0.0098594,              0.0098594,              0.0098594
                    144,                0.76029,                0.56646,                 1.1445,                0.90459,                0.89681,                0.93772,                0.64896,                 1.1021,                0.60934,                 1.5496,              0.0098584,              0.0098584,              0.0098584
                    145,                0.78031,                0.56764,                 1.1466,                0.93466,                0.87648,                0.94019,                0.65161,                 1.1226,                 0.6528,                 1.5686,              0.0098574,              0.0098574,              0.0098574
                    146,                 0.7384,                 0.5336,                 1.1147,                0.93636,                0.87641,                0.94004,                0.64131,                 1.1414,                0.64252,                  1.573,              0.0098565,              0.0098565,              0.0098565
                    147,                0.74959,                0.53933,                 1.1322,                0.93375,                0.89965,                0.94612,                0.65164,                 1.1187,                0.61228,                 1.5501,              0.0098555,              0.0098555,              0.0098555
                    148,                0.75367,                0.54409,                 1.1363,                0.90891,                0.90016,                0.93775,                0.65126,                 1.1361,                 0.5985,                 1.5538,              0.0098545,              0.0098545,              0.0098545
                    149,                 0.7511,                0.53381,                 1.1344,                0.92374,                0.89203,                0.92745,                  0.631,                 1.1511,                0.65852,                 1.6113,              0.0098535,              0.0098535,              0.0098535
                    150,                0.73219,                0.52184,                 1.1121,                0.94253,                0.88379,                0.94657,                0.64817,                 1.1138,                0.59629,                 1.5773,              0.0098525,              0.0098525,              0.0098525
                    151,                0.74253,                0.53687,                 1.1288,                0.95428,                0.89707,                0.94832,                0.66265,                 1.1008,                0.57498,                 1.5383,              0.0098515,              0.0098515,              0.0098515
                    152,                0.72467,                0.53491,                 1.1155,                0.94071,                  0.873,                0.94281,                0.65474,                 1.1357,                0.62516,                 1.5445,              0.0098505,              0.0098505,              0.0098505
                    153,                0.72622,                0.52537,                 1.1137,                 0.9299,                0.91703,                0.94047,                0.65479,                 1.1292,                 0.6024,                  1.574,              0.0098495,              0.0098495,              0.0098495
                    154,                0.75596,                0.54469,                 1.1381,                0.93101,                0.87897,                0.93882,                0.63938,                 1.1526,                0.62563,                 1.5913,              0.0098485,              0.0098485,              0.0098485
                    155,                0.76242,                0.54898,                 1.1295,                0.93107,                 0.8913,                0.94215,                0.64779,                 1.1487,                0.60505,                  1.542,              0.0098475,              0.0098475,              0.0098475
                    156,                0.72097,                0.52042,                 1.1172,                0.93229,                0.89002,                0.93548,                0.63736,                 1.1755,                0.60612,                 1.5777,              0.0098466,              0.0098466,              0.0098466
                    157,                0.76415,                0.54693,                 1.1355,                0.94373,                0.90226,                0.93918,                0.64245,                 1.1552,                0.62003,                  1.583,              0.0098456,              0.0098456,              0.0098456
                    158,                0.73385,                0.52855,                 1.1132,                0.92816,                0.92126,                0.94721,                0.63788,                 1.1641,                0.59614,                 1.6315,              0.0098446,              0.0098446,              0.0098446
                    159,                0.72973,                0.51772,                 1.1157,                 0.9634,                 0.9142,                0.95111,                0.65005,                 1.1421,                0.58887,                 1.5842,              0.0098436,              0.0098436,              0.0098436
                    160,                 0.7414,                0.53208,                 1.1159,                0.94143,                0.90032,                0.93622,                0.63224,                 1.1496,                0.60028,                 1.5845,              0.0098426,              0.0098426,              0.0098426
                    161,                0.73777,                 0.5347,                 1.1193,                0.93163,                0.90535,                0.93075,                0.62967,                 1.1826,                0.62547,                  1.612,              0.0098416,              0.0098416,              0.0098416
                    162,                0.73405,                0.53009,                 1.1291,                0.94819,                0.87725,                0.93962,                0.63416,                 1.1659,                0.62336,                 1.6096,              0.0098406,              0.0098406,              0.0098406
                    163,                0.71603,                0.50771,                 1.1114,                0.91607,                0.89875,                0.94011,                0.63937,                 1.1262,                0.62365,                  1.591,              0.0098396,              0.0098396,              0.0098396
                    164,                0.72907,                 0.5093,                 1.1188,                0.96177,                0.91011,                0.95303,                0.63232,                 1.1754,                0.60986,                 1.6172,              0.0098386,              0.0098386,              0.0098386
                    165,                0.71575,                0.50272,                 1.1109,                 0.9022,                0.89431,                0.93129,                0.64423,                 1.1406,                0.58462,                 1.6022,              0.0098376,              0.0098376,              0.0098376
                    166,                0.73485,                0.53486,                 1.1167,                0.92208,                0.91261,                0.92673,                0.63707,                 1.1497,                0.60715,                 1.6069,              0.0098367,              0.0098367,              0.0098367
                    167,                  0.724,                0.52157,                 1.1074,                 0.9449,                0.86659,                0.94036,                0.64282,                 1.1592,                0.60963,                 1.5922,              0.0098357,              0.0098357,              0.0098357
                    168,                0.75007,                0.52898,                 1.1251,                0.93708,                0.90213,                0.94601,                 0.6389,                 1.1642,                0.59865,                 1.6102,              0.0098347,              0.0098347,              0.0098347
                    169,                0.71466,                 0.5181,                 1.1102,                0.92675,                0.91184,                0.94478,                0.64697,                 1.1212,                0.59961,                 1.5679,              0.0098337,              0.0098337,              0.0098337
                    170,                0.72008,                0.52334,                   1.12,                0.92977,                0.88887,                0.93541,                0.64337,                 1.1154,                0.62073,                 1.5792,              0.0098327,              0.0098327,              0.0098327
                    171,                0.72677,                0.51121,                 1.1157,                 0.9392,                0.91066,                0.94221,                0.62588,                 1.1636,                0.64281,                 1.6462,              0.0098317,              0.0098317,              0.0098317
                    172,                0.73087,                0.52408,                 1.1122,                0.91178,                0.89823,                0.93688,                0.63143,                 1.1608,                0.62675,                 1.5666,              0.0098307,              0.0098307,              0.0098307
                    173,                0.71466,                0.51532,                 1.1068,                0.93614,                0.89113,                0.94222,                0.66123,                 1.1292,                0.63235,                 1.5738,              0.0098297,              0.0098297,              0.0098297
                    174,                 0.7116,                0.51631,                 1.0995,                0.93018,                0.90586,                0.94916,                0.66254,                 1.1372,                0.58207,                 1.5802,              0.0098287,              0.0098287,              0.0098287
                    175,                0.69145,                0.48826,                 1.0877,                0.93111,                0.86323,                0.92586,                0.64333,                 1.1301,                0.64006,                 1.6026,              0.0098277,              0.0098277,              0.0098277
                    176,                0.69344,                0.50079,                 1.0974,                0.93417,                0.87792,                0.93203,                0.65683,                 1.1224,                0.65967,                 1.6034,              0.0098268,              0.0098268,              0.0098268
                    177,                0.71229,                0.50349,                 1.1088,                0.94557,                0.90793,                0.95169,                0.66175,                 1.1161,                0.58909,                 1.5855,              0.0098258,              0.0098258,              0.0098258
                    178,                0.70406,                0.50903,                 1.1044,                0.93153,                0.90579,                0.94314,                0.65274,                 1.1381,                0.62357,                 1.5647,              0.0098248,              0.0098248,              0.0098248
                    179,                0.69499,                0.49074,                  1.097,                0.93407,                0.92582,                0.93953,                0.64393,                 1.1349,                0.57959,                 1.5802,              0.0098238,              0.0098238,              0.0098238
                    180,                0.69379,                0.49943,                 1.0984,                0.94693,                0.90598,                 0.9411,                0.63702,                 1.1774,                0.60914,                 1.6304,              0.0098228,              0.0098228,              0.0098228
                    181,                0.68392,                0.49681,                 1.0848,                0.94425,                0.89216,                0.94444,                0.66847,                 1.1201,                0.57598,                 1.5545,              0.0098218,              0.0098218,              0.0098218
                    182,                0.70406,                 0.4936,                 1.0956,                0.94624,                0.90131,                0.94504,                0.66008,                  1.131,                0.59561,                 1.5515,              0.0098208,              0.0098208,              0.0098208
                    183,                0.68688,                 0.4829,                 1.1006,                0.96237,                0.92511,                0.95225,                0.66419,                 1.1285,                0.58874,                  1.575,              0.0098198,              0.0098198,              0.0098198
                    184,                0.68718,                0.49178,                  1.084,                0.94536,                0.89885,                 0.9417,                0.64674,                 1.1642,                0.61483,                 1.5969,              0.0098188,              0.0098188,              0.0098188
                    185,                0.70077,                0.49865,                 1.1001,                 0.9402,                0.88984,                0.94654,                0.66336,                 1.1301,                0.60482,                 1.5654,              0.0098178,              0.0098178,              0.0098178
                    186,                0.68423,                0.49358,                 1.0845,                0.93905,                0.88565,                0.93182,                0.64105,                 1.1353,                0.63645,                 1.5879,              0.0098169,              0.0098169,              0.0098169
                    187,                0.67856,                0.47864,                  1.084,                0.95393,                0.87027,                0.93872,                0.64565,                 1.1545,                 0.6169,                 1.6124,              0.0098159,              0.0098159,              0.0098159
                    188,                0.69816,                0.49375,                  1.102,                0.93658,                0.88606,                0.93854,                0.64596,                 1.1443,                0.63113,                 1.5856,              0.0098149,              0.0098149,              0.0098149
                    189,                0.69606,                0.48899,                 1.0914,                0.92795,                0.88087,                0.94148,                0.64496,                 1.1454,                0.62917,                 1.6213,              0.0098139,              0.0098139,              0.0098139
                    190,                 0.6882,                0.48785,                 1.0878,                0.89857,                 0.9281,                0.94892,                0.64271,                 1.1955,                0.62817,                 1.6463,              0.0098129,              0.0098129,              0.0098129
                    191,                0.67836,                0.48108,                 1.0837,                0.95063,                0.90018,                0.95038,                0.64521,                 1.1276,                0.60298,                 1.5911,              0.0098119,              0.0098119,              0.0098119
                    192,                0.67241,                0.46712,                 1.0792,                0.94509,                 0.9075,                0.94895,                0.63948,                 1.1491,                0.60348,                 1.5976,              0.0098109,              0.0098109,              0.0098109
                    193,                0.66092,                0.46715,                 1.0832,                0.93251,                0.92538,                0.94975,                0.65496,                 1.1258,                0.58063,                 1.5674,              0.0098099,              0.0098099,              0.0098099
                    194,                0.68496,                0.49165,                 1.0974,                0.90488,                 0.9177,                0.93141,                0.61789,                  1.183,                0.64411,                  1.587,              0.0098089,              0.0098089,              0.0098089
                    195,                0.67856,                0.47945,                 1.0888,                0.94404,                0.91035,                0.94568,                 0.6155,                  1.207,                0.61039,                 1.6676,              0.0098079,              0.0098079,              0.0098079
                    196,                0.68573,                0.49059,                 1.0839,                0.89987,                0.92469,                  0.951,                0.65384,                 1.1212,                0.60232,                 1.6007,               0.009807,               0.009807,               0.009807
                    197,                0.68343,                0.48692,                 1.0789,                0.91296,                0.92348,                0.94161,                0.65494,                 1.1334,                0.60311,                 1.5949,               0.009806,               0.009806,               0.009806
                    198,                0.68622,                0.48719,                  1.094,                0.94186,                0.89842,                0.94043,                0.65529,                 1.1105,                0.62271,                 1.5409,               0.009805,               0.009805,               0.009805
                    199,                0.66838,                 0.4782,                 1.0801,                0.94484,                 0.9065,                0.95464,                0.65224,                 1.1459,                0.61506,                 1.5842,               0.009804,               0.009804,               0.009804
                    200,                0.67619,                0.49079,                 1.0825,                0.90584,                 0.9423,                0.94891,                0.64881,                  1.142,                0.58718,                 1.5992,               0.009803,               0.009803,               0.009803
                    201,                 0.6711,                0.46689,                 1.0837,                 0.9473,                0.89502,                0.95426,                 0.6603,                  1.146,                0.57635,                 1.5842,               0.009802,               0.009802,               0.009802
                    202,                0.66774,                0.48056,                 1.0764,                0.93116,                0.91373,                0.94065,                0.64521,                  1.145,                0.57664,                 1.6202,               0.009801,               0.009801,               0.009801
                    203,                0.69102,                 0.4788,                 1.0897,                0.92044,                0.93146,                0.95968,                0.65569,                 1.1316,                0.57976,                 1.5914,                 0.0098,                 0.0098,                 0.0098
                    204,                0.66052,                0.47145,                 1.0831,                0.93103,                 0.8975,                0.93919,                0.65896,                 1.0818,                0.60358,                 1.5469,               0.009799,               0.009799,               0.009799
                    205,                0.67253,                0.47703,                 1.0836,                0.93483,                0.87341,                0.92842,                0.65163,                 1.1344,                0.63227,                 1.6013,               0.009798,               0.009798,               0.009798
                    206,                0.66465,                0.47367,                 1.0709,                0.93035,                0.90043,                0.94839,                0.65876,                 1.1269,                0.61978,                 1.5925,               0.009797,               0.009797,               0.009797
                    207,                0.65119,                 0.4605,                  1.061,                0.91282,                0.90919,                0.93902,                 0.6485,                 1.1308,                0.61059,                 1.5858,              0.0097961,              0.0097961,              0.0097961
                    208,                0.67334,                0.48487,                  1.082,                0.93861,                0.89241,                0.94345,                0.65999,                 1.0662,                0.59972,                 1.5381,              0.0097951,              0.0097951,              0.0097951
                    209,                0.65801,                0.46489,                 1.0715,                0.94142,                0.89337,                0.93636,                0.65271,                 1.1166,                0.60174,                 1.5733,              0.0097941,              0.0097941,              0.0097941
                    210,                0.66275,                0.47543,                 1.0756,                0.94413,                0.88844,                0.93857,                0.63321,                 1.1922,                0.59649,                 1.6736,              0.0097931,              0.0097931,              0.0097931
                    211,                0.65187,                0.45942,                 1.0633,                 0.9329,                0.88268,                0.93034,                0.62429,                 1.1924,                0.60451,                 1.6484,              0.0097921,              0.0097921,              0.0097921
                    212,                  0.666,                0.47669,                 1.0776,                0.91329,                 0.8867,                0.93438,                0.63814,                  1.179,                   0.62,                 1.6542,              0.0097911,              0.0097911,              0.0097911
                    213,                 0.6378,                 0.4609,                 1.0697,                0.96043,                0.87421,                0.94002,                0.64167,                 1.1747,                 0.6172,                  1.649,              0.0097901,              0.0097901,              0.0097901
                    214,                0.65543,                0.46616,                 1.0747,                0.96524,                0.89002,                0.93538,                0.64612,                 1.1515,                 0.5885,                 1.6263,              0.0097891,              0.0097891,              0.0097891
                    215,                0.64592,                0.46014,                 1.0655,                0.95587,                0.91754,                0.94409,                0.63753,                 1.1405,                0.60145,                 1.5919,              0.0097881,              0.0097881,              0.0097881
                    216,                0.65672,                0.47625,                 1.0761,                0.92887,                0.91899,                0.94373,                0.63412,                 1.1545,                0.64853,                 1.6164,              0.0097871,              0.0097871,              0.0097871
                    217,                0.65043,                0.46077,                 1.0614,                0.91115,                0.91751,                 0.9464,                0.65572,                 1.1262,                0.59696,                 1.6066,              0.0097862,              0.0097862,              0.0097862
                    218,                0.64269,                0.46386,                 1.0634,                0.95165,                 0.8887,                0.94724,                0.65031,                 1.1433,                0.58637,                  1.599,              0.0097852,              0.0097852,              0.0097852
                    219,                0.64728,                0.46766,                  1.071,                0.91731,                0.88906,                0.94899,                0.66099,                 1.1038,                0.60935,                 1.5549,              0.0097842,              0.0097842,              0.0097842
                    220,                0.64389,                0.46197,                 1.0659,                0.88678,                0.93473,                0.95536,                0.64961,                  1.124,                0.57471,                 1.5784,              0.0097832,              0.0097832,              0.0097832
                    221,                0.64953,                 0.4588,                 1.0644,                0.92025,                 0.9132,                0.92857,                 0.6371,                 1.1366,                0.59134,                   1.56,              0.0097822,              0.0097822,              0.0097822
                    222,                0.64276,                0.45166,                 1.0647,                0.93564,                0.91476,                0.93719,                0.63932,                 1.1234,                0.60608,                 1.5886,              0.0097812,              0.0097812,              0.0097812
                    223,                0.64593,                0.46075,                 1.0731,                0.93713,                0.91618,                0.95754,                0.65769,                 1.1027,                0.56599,                  1.557,              0.0097802,              0.0097802,              0.0097802
                    224,                0.65207,                 0.4667,                 1.0622,                0.92499,                0.89659,                0.95152,                0.64571,                 1.1819,                0.60725,                 1.6321,              0.0097792,              0.0097792,              0.0097792
                    225,                0.63438,                0.45556,                 1.0536,                0.90205,                 0.9307,                 0.9378,                0.65121,                 1.1504,                0.61225,                 1.6022,              0.0097782,              0.0097782,              0.0097782
                    226,                0.63347,                0.44412,                 1.0566,                0.91755,                0.93313,                0.95046,                0.65528,                 1.1687,                0.60028,                  1.638,              0.0097773,              0.0097773,              0.0097773
                    227,                 0.6243,                0.43963,                 1.0484,                  0.926,                0.92206,                0.94104,                 0.6326,                 1.1773,                 0.5947,                 1.6471,              0.0097763,              0.0097763,              0.0097763
                    228,                0.65013,                0.46384,                  1.076,                 0.9423,                0.91278,                0.94765,                0.63035,                 1.1903,                0.61004,                 1.6627,              0.0097753,              0.0097753,              0.0097753
                    229,                 0.6385,                0.44319,                 1.0642,                0.94593,                0.91715,                0.94611,                 0.6265,                  1.193,                0.60355,                 1.6811,              0.0097743,              0.0097743,              0.0097743
                    230,                0.63002,                0.45456,                 1.0623,                0.94448,                0.92228,                0.94449,                0.62228,                 1.2177,                  0.611,                 1.6814,              0.0097733,              0.0097733,              0.0097733
                    231,                0.65356,                0.45825,                 1.0739,                0.93362,                0.88379,                0.93841,                0.62576,                  1.189,                0.63852,                 1.6396,              0.0097723,              0.0097723,              0.0097723
                    232,                 0.6479,                0.45113,                  1.068,                0.94465,                0.90353,                0.93546,                0.62808,                 1.1963,                0.61407,                 1.6682,              0.0097713,              0.0097713,              0.0097713
                    233,                0.65115,                0.45866,                 1.0707,                0.92972,                0.89853,                0.93449,                0.64236,                 1.1522,                0.58568,                 1.5993,              0.0097703,              0.0097703,              0.0097703
                    234,                0.62443,                0.44514,                 1.0574,                0.94646,                0.89049,                0.93799,                0.65244,                  1.135,                0.61024,                 1.5825,              0.0097693,              0.0097693,              0.0097693
                    235,                0.62036,                0.43329,                 1.0583,                0.95686,                 0.9121,                0.95925,                0.66039,                 1.1245,                0.57414,                 1.5815,              0.0097683,              0.0097683,              0.0097683
                    236,                0.64037,                0.44902,                 1.0693,                0.93257,                0.92304,                0.95104,                0.65719,                   1.15,                0.60142,                  1.612,              0.0097674,              0.0097674,              0.0097674
                    237,                0.63904,                0.45131,                 1.0535,                0.97144,                0.90586,                0.95549,                0.65182,                  1.153,                0.56084,                 1.6304,              0.0097664,              0.0097664,              0.0097664
                    238,                0.63744,                0.44854,                 1.0491,                0.94066,                0.90088,                0.94443,                0.65041,                 1.1573,                0.58445,                 1.6317,              0.0097654,              0.0097654,              0.0097654
                    239,                0.60825,                0.42534,                  1.048,                0.93094,                0.89742,                0.94508,                0.65044,                 1.1413,                0.57925,                 1.6091,              0.0097644,              0.0097644,              0.0097644
                    240,                0.62146,                0.44126,                  1.059,                0.92813,                0.89544,                0.94201,                0.64242,                 1.1652,                0.59086,                 1.6263,              0.0097634,              0.0097634,              0.0097634
                    241,                0.62198,                0.44252,                 1.0446,                0.96099,                0.90675,                0.94453,                0.64705,                 1.1497,                0.57747,                  1.644,              0.0097624,              0.0097624,              0.0097624
                    242,                0.62646,                0.44338,                 1.0505,                0.95211,                0.92317,                0.94661,                0.65873,                 1.1405,                0.56394,                 1.6351,              0.0097614,              0.0097614,              0.0097614
                    243,                0.61491,                0.43686,                 1.0462,                0.92952,                0.93315,                0.95207,                0.65238,                 1.1566,                0.57295,                 1.6329,              0.0097604,              0.0097604,              0.0097604
